modelCode,flagCount,flags,mirrorBias,stallDrawRate,stallFullAbsorptionRate,speedRunawayRepeatRate,speedRunawayMaxStreak,focusFireTargetFocus,speedVsTankAttackerWinRate,speedVsTankDrawRate,speedVsTankFullAbsorptionRate,assassinVsTankAttackerWinRate,assassinVsTankFullAbsorptionRate,assassinVsTankHighestHit,assassinVsTankFirstDefeatAction
ACDGHIKMN,1,mirror-bias-too-high,0.7333333333333334,1,0.618,0.3972602739726027,3,0.624440836940837,0,0.4,0.6658053402239449,1,0,44.4,20.2
ACDGHILMN,1,mirror-bias-too-high,0.7333333333333334,1,0.618,0.3972602739726027,3,0.624440836940837,0,0.4,0.6658053402239449,1,0,44.4,20.2
ACDGHJKMN,1,mirror-bias-too-high,0.7333333333333334,1,0.618,0.3972602739726027,3,0.624440836940837,0,0.4,0.6658053402239449,1,0,44.4,20.2
ACDGHJLMN,1,mirror-bias-too-high,0.7333333333333334,1,0.618,0.3972602739726027,3,0.624440836940837,0,0.4,0.6658053402239449,1,0,44.4,20.2
BCDGHIKMN,1,mirror-bias-too-high,0.7333333333333334,1,0.618,0.3972602739726027,2.6,0.624440836940837,0,0,0.6733403582718651,1,0,45.8,20.6
BCDGHILMN,1,mirror-bias-too-high,0.7333333333333334,1,0.618,0.3972602739726027,2.6,0.624440836940837,0,0,0.6733403582718651,1,0,45.8,20.6
BCDGHJKMN,1,mirror-bias-too-high,0.7333333333333334,1,0.618,0.3972602739726027,2.6,0.624440836940837,0,0,0.6733403582718651,1,0,45.8,20.6
BCDGHJLMN,1,mirror-bias-too-high,0.7333333333333334,1,0.618,0.3972602739726027,2.6,0.624440836940837,0,0,0.6733403582718651,1,0,45.8,20.6
ACEFHIKMN,0,,0.4666666666666666,1,0.568,0.3953488372093023,3,0.6071428289906551,0,0,0.5405405405405406,1,0.1909307875894988,23,83.8
ACEFHILMN,0,,0.4666666666666666,1,0.568,0.3953488372093023,3,0.6071428289906551,0,0,0.5405405405405406,1,0.1909307875894988,23,83.8
ACEFHJKMN,0,,0.4666666666666666,1,0.568,0.3953488372093023,3,0.6071428289906551,0,0,0.5405405405405406,1,0.1909307875894988,23,83.8
ACEFHJLMN,0,,0.4666666666666666,1,0.568,0.3953488372093023,3,0.6071428289906551,0,0,0.5405405405405406,1,0.1909307875894988,23,83.8
BCEFHIKMN,0,,0.4666666666666666,1,0.568,0.37777777777777777,3,0.6071428289906551,0,0,0.547455295735901,1,0.18256130790190736,23,73.4
BCEFHILMN,0,,0.4666666666666666,1,0.568,0.37777777777777777,3,0.6071428289906551,0,0,0.547455295735901,1,0.18256130790190736,23,73.4
BCEFHJKMN,0,,0.4666666666666666,1,0.568,0.37777777777777777,3,0.6071428289906551,0,0,0.547455295735901,1,0.18256130790190736,23,73.4
BCEFHJLMN,0,,0.4666666666666666,1,0.568,0.37777777777777777,3,0.6071428289906551,0,0,0.547455295735901,1,0.18256130790190736,23,73.4
ACDFHIKMN,0,,0.26666666666666666,1,0.618,0.392,3,0.6201652990971877,0,0.8,0.7413010590015129,1,0.1495601173020528,22.6,68.2
ACDFHILMN,0,,0.26666666666666666,1,0.618,0.392,3,0.6201652990971877,0,0.8,0.7413010590015129,1,0.1495601173020528,22.6,68.2
ACDFHJKMN,0,,0.26666666666666666,1,0.618,0.392,3,0.6201652990971877,0,0.8,0.7413010590015129,1,0.1495601173020528,22.6,68.2
ACDFHJLMN,0,,0.26666666666666666,1,0.618,0.392,3,0.6201652990971877,0,0.8,0.7413010590015129,1,0.1495601173020528,22.6,68.2
BCDFHIKMN,0,,0.26666666666666666,1,0.618,0.375,3,0.6201652990971877,0,1,0.75,1,0.17579250720461095,23,69.4
BCDFHILMN,0,,0.26666666666666666,1,0.618,0.375,3,0.6201652990971877,0,1,0.75,1,0.17579250720461095,23,69.4
BCDFHJKMN,0,,0.26666666666666666,1,0.618,0.375,3,0.6201652990971877,0,1,0.75,1,0.17579250720461095,23,69.4
BCDFHJLMN,0,,0.26666666666666666,1,0.618,0.375,3,0.6201652990971877,0,1,0.75,1,0.17579250720461095,23,69.4
ACEGHIKMN,0,,0.20000000000000004,1,0.568,0.42424242424242425,3,0.6162221112221113,0,0,0.4505208333333333,1,0,44.2,23.8
ACEGHILMN,0,,0.20000000000000004,1,0.568,0.42424242424242425,3,0.6162221112221113,0,0,0.4505208333333333,1,0,44.2,23.8
ACEGHJKMN,0,,0.20000000000000004,1,0.568,0.42424242424242425,3,0.6162221112221113,0,0,0.4505208333333333,1,0,44.2,23.8
ACEGHJLMN,0,,0.20000000000000004,1,0.568,0.42424242424242425,3,0.6162221112221113,0,0,0.4505208333333333,1,0,44.2,23.8
BCEGHIKMN,0,,0.20000000000000004,1,0.568,0.391304347826087,2.6,0.6162221112221113,0,0,0.47702407002188185,1,0.008547008547008548,46.8,23.4
BCEGHILMN,0,,0.20000000000000004,1,0.568,0.391304347826087,2.6,0.6162221112221113,0,0,0.47702407002188185,1,0.008547008547008548,46.8,23.4
BCEGHJKMN,0,,0.20000000000000004,1,0.568,0.391304347826087,2.6,0.6162221112221113,0,0,0.47702407002188185,1,0.008547008547008548,46.8,23.4
BCEGHJLMN,0,,0.20000000000000004,1,0.568,0.391304347826087,2.6,0.6162221112221113,0,0,0.47702407002188185,1,0.008547008547008548,46.8,23.4
