modelCode,matchupCount,averageFavoredPointRate,minFavoredPointRate,failedMatchups,flags
BCEFHJKMN,15,0.6533333333333332,0,5,hatred-cycle-broken-matchups
BCEFHJLMN,15,0.6533333333333332,0,5,hatred-cycle-broken-matchups
ACEFHJKMN,15,0.6666666666666666,0,5,hatred-cycle-broken-matchups
ACEFHJLMN,15,0.6666666666666666,0,5,hatred-cycle-broken-matchups
ACEGHJKMN,15,0.6666666666666666,0,5,hatred-cycle-broken-matchups
ACEGHJLMN,15,0.6666666666666666,0,5,hatred-cycle-broken-matchups
BCEGHJKMN,15,0.68,0,5,hatred-cycle-broken-matchups
BCEGHJLMN,15,0.68,0,5,hatred-cycle-broken-matchups
ACDFHIKMN,15,0.7266666666666667,0,5,hatred-cycle-broken-matchups
ACDFHILMN,15,0.7266666666666667,0,5,hatred-cycle-broken-matchups
BCDFHIKMN,15,0.74,0,5,hatred-cycle-broken-matchups
BCDFHILMN,15,0.74,0,5,hatred-cycle-broken-matchups
BCDGHJKMN,15,0.68,0,4,hatred-cycle-broken-matchups
BCDGHJLMN,15,0.68,0,4,hatred-cycle-broken-matchups
ACDFHJKMN,15,0.6933333333333332,0,4,hatred-cycle-broken-matchups
ACDFHJLMN,15,0.6933333333333332,0,4,hatred-cycle-broken-matchups
ACDGHJKMN,15,0.6933333333333334,0,4,hatred-cycle-broken-matchups
ACDGHJLMN,15,0.6933333333333334,0,4,hatred-cycle-broken-matchups
ACEGHIKMN,15,0.7,0,4,hatred-cycle-broken-matchups
ACEGHILMN,15,0.7,0,4,hatred-cycle-broken-matchups
BCEFHIKMN,15,0.7,0,4,hatred-cycle-broken-matchups
BCEFHILMN,15,0.7,0,4,hatred-cycle-broken-matchups
BCDFHJKMN,15,0.7066666666666667,0,4,hatred-cycle-broken-matchups
BCDFHJLMN,15,0.7066666666666667,0,4,hatred-cycle-broken-matchups
ACEFHIKMN,15,0.7133333333333333,0,4,hatred-cycle-broken-matchups
ACEFHILMN,15,0.7133333333333333,0,4,hatred-cycle-broken-matchups
BCEGHIKMN,15,0.7133333333333334,0,4,hatred-cycle-broken-matchups
BCEGHILMN,15,0.7133333333333334,0,4,hatred-cycle-broken-matchups
BCDGHIKMN,15,0.7400000000000001,0,3,hatred-cycle-broken-matchups
BCDGHILMN,15,0.7400000000000001,0,3,hatred-cycle-broken-matchups
ACDGHIKMN,15,0.7533333333333334,0,3,hatred-cycle-broken-matchups
ACDGHILMN,15,0.7533333333333334,0,3,hatred-cycle-broken-matchups
