modelCode,scenarioCount,mirrorCount,pressureCount,averageActions,averageDrawRate,averageRepeatTurnRate,averageFullAbsorptionRate,mirrorAttackerBias,pressureAttackerWinRate,speedPressureScore
BCDFHJKMN,6,3,3,187.2222222222222,0.611111111111111,0.4285399715648364,0.25358698309444466,0.1111111111111111,0.3333333333333333,78.76187330489817
BCDFHJLMN,6,3,3,187.2222222222222,0.611111111111111,0.4285399715648364,0.25358698309444466,0.1111111111111111,0.3333333333333333,78.76187330489817
BCDFHIKMN,6,3,3,187.1111111111111,0.611111111111111,0.4263118075719666,0.25358698309444466,0.1111111111111111,0.3333333333333333,78.64853402979419
BCDFHILMN,6,3,3,187.1111111111111,0.611111111111111,0.4263118075719666,0.25358698309444466,0.1111111111111111,0.3333333333333333,78.64853402979419
ACDFHIKMN,6,3,3,182,0.5,0.4373470228380261,0.25282865312524155,0.1111111111111111,0.3333333333333333,75.4929025783936
ACDFHILMN,6,3,3,182,0.5,0.4373470228380261,0.25282865312524155,0.1111111111111111,0.3333333333333333,75.4929025783936
ACDFHJKMN,6,3,3,182,0.5,0.4373470228380261,0.25282865312524155,0.1111111111111111,0.3333333333333333,75.4929025783936
ACDFHJLMN,6,3,3,182,0.5,0.4373470228380261,0.25282865312524155,0.1111111111111111,0.3333333333333333,75.4929025783936
ACDGHJKMN,6,3,3,125.83333333333333,0.1111111111111111,0.4383789948748536,0.23376403535112666,0.5555555555555555,0.3333333333333333,57.99393455043042
ACDGHJLMN,6,3,3,125.83333333333333,0.1111111111111111,0.4383789948748536,0.23376403535112666,0.5555555555555555,0.3333333333333333,57.99393455043042
ACDGHIKMN,6,3,3,125.5,0.1111111111111111,0.44622213212975553,0.23376403535112666,0.5555555555555555,0.3333333333333333,57.890666576574205
ACDGHILMN,6,3,3,125.5,0.1111111111111111,0.44622213212975553,0.23376403535112666,0.5555555555555555,0.3333333333333333,57.890666576574205
BCDGHIKMN,6,3,3,116.16666666666664,0.05555555555555555,0.43967648070730275,0.2345715771629567,0.5555555555555555,0.3333333333333333,51.99523203626285
BCDGHILMN,6,3,3,116.16666666666664,0.05555555555555555,0.43967648070730275,0.2345715771629567,0.5555555555555555,0.3333333333333333,51.99523203626285
BCDGHJKMN,6,3,3,116.38888888888887,0.05555555555555555,0.4294200704508924,0.2345715771629567,0.5555555555555555,0.3333333333333333,51.984975626006445
BCDGHJLMN,6,3,3,116.38888888888887,0.05555555555555555,0.4294200704508924,0.2345715771629567,0.5555555555555555,0.3333333333333333,51.984975626006445
BCEFHIKMN,6,3,3,100.66666666666667,0,0.4339165416708523,0.20712585615922993,0.3333333333333333,0.3333333333333333,42.65613876389307
BCEFHILMN,6,3,3,100.66666666666667,0,0.4339165416708523,0.20712585615922993,0.3333333333333333,0.3333333333333333,42.65613876389307
BCEFHJKMN,6,3,3,100.6111111111111,0,0.43336194026824737,0.20712585615922993,0.3333333333333333,0.3333333333333333,42.600028606934906
BCEFHJLMN,6,3,3,100.6111111111111,0,0.43336194026824737,0.20712585615922993,0.3333333333333333,0.3333333333333333,42.600028606934906
ACEFHIKMN,6,3,3,99.27777777777777,0,0.44121585480941167,0.21046065667862798,0.3333333333333333,0.3333333333333333,42.05232696592052
ACEFHILMN,6,3,3,99.27777777777777,0,0.44121585480941167,0.21046065667862798,0.3333333333333333,0.3333333333333333,42.05232696592052
ACEFHJKMN,6,3,3,99.27777777777777,0,0.44121585480941167,0.21046065667862798,0.3333333333333333,0.3333333333333333,42.05232696592052
ACEFHJLMN,6,3,3,99.27777777777777,0,0.44121585480941167,0.21046065667862798,0.3333333333333333,0.3333333333333333,42.05232696592052
BCEGHJKMN,6,3,3,48.833333333333336,0,0.43545336845570487,0.15658404607030652,0.3333333333333333,0.3333333333333333,23.491008924011265
BCEGHJLMN,6,3,3,48.833333333333336,0,0.43545336845570487,0.15658404607030652,0.3333333333333333,0.3333333333333333,23.491008924011265
BCEGHIKMN,6,3,3,47.94444444444445,0,0.4328271058294422,0.15658404607030652,0.3333333333333333,0.3333333333333333,22.932827105829443
BCEGHILMN,6,3,3,47.94444444444445,0,0.4328271058294422,0.15658404607030652,0.3333333333333333,0.3333333333333333,22.932827105829443
ACEGHJKMN,6,3,3,47.333333333333336,0,0.4424176486676486,0.1601228716868527,0.3333333333333333,0.3333333333333333,22.66463987088987
ACEGHJLMN,6,3,3,47.333333333333336,0,0.4424176486676486,0.1601228716868527,0.3333333333333333,0.3333333333333333,22.66463987088987
ACEGHIKMN,6,3,3,46.72222222222223,0,0.441807148057148,0.1601228716868527,0.3333333333333333,0.3333333333333333,22.27514048139048
ACEGHILMN,6,3,3,46.72222222222223,0,0.441807148057148,0.1601228716868527,0.3333333333333333,0.3333333333333333,22.27514048139048
